category,title,text,points,link,flag
KSS Crypto,KSSCrypto,"Next time, just attend KSS sessions. You won't have to dig around helplessly for the flag like you are doing right now...Just solve it. ",10,https://github.com/dms-akshat/EUREKA_Init_Question,EUREKA{1sT_EUr3KA_k3Y}
Web6,Headed Home,"	While returning to your room after class, you realise you have forgotten your key! When you go back, you find multiple keys, however, you know there is something unique about yours. It is your job to find it!",25,https://ryzan.neocities.org/eurekactf/hello,EUREKA{W3LC0M3_B4CK_H0M3}
RE3,Be Polite,"Everyone at NITK has started being rude to you. How can you get back on their good side? Say the magic words and a dragon shall appear.
",30,https://www.mediafire.com/file/8hvjnfhrwwl24pr/Be_Polite.zip/file,EUREKA{WA5_1T_T00_HARD}
Crypto6,Retro Riddle,"Sometimes, to uncover hidden secrets, you need to see things from a different angle. Try
turning things ‘around’, and you might find the key to unlock it.
Download the msg_eureka.txt file from given link to get started",30,https://drive.google.com/file/d/1DJxjYG0yyWx1gTXuzesRF0QgOqGR-qw3/view?usp=drive_link,EUREKA{you_got_!t_nice}
Misc9,A secret message,"Find the flag which is hidden inside this coded message, and the message is in Java language.
Try to decode and find your flag.",25,https://drive.google.com/drive/folders/1xmrPQObcqn92hMYDvDHBeNBAL26wQFVI,EUREKA{ghei_ff887_jfrij_678_RBDJ_8789}
Web5,Beep Boop,"In this virtual realm, you'll embark on a quest to discover the hidden flag by exploring a cryptic website within the metaverse. Your goal is to decipher the clues embedded in the website and extract the elusive flag.
Your journey begins when you stumble upon a mysterious website called “https://bit.ly/46UASRh"" This website seems to be the key to unlocking the flag, but it's filled with enigmatic hints, puzzles, and riddles.
Your task is to navigate through the website and uncover the hidden flag. Be prepared to use your web analysis, as the flag is concealed behind a series of challenges that test your metaverse knowledge.
The flag will be in the format: `EUREKA{your_flag_here}`.",55,https://bit.ly/46UASRh,EUREKA{ROOKIE}
For3,when to meet,"According to your plan,you wanted to escape from the mirrorworld but you need a golden pass to do so.
For that, you need to meet a smuggler but he did not tell the time directly to avoid any secret to
get revealed.he gave a message to find the time to meet.
Solve the question to know the time.",55,https://drive.google.com/drive/folders/1kul_cVeJlNLZY7te73MPHuLS9NBvfb6Q?usp=sharing,EUREKA{m3Et_me_4t_12_aM}
For5,adi_crackin_files,"Aditya, having secured admission to NIT Surathkal through an outstanding percentile in
the JEE Mains, found himself bewildered upon arrival. The campus appeared eerily
deserted, with an air of desolation hanging over the once vibrant college grounds.
Undeterred, he cast his gaze upon the adjacent mountain and resolved to embark on an
exploratory journey. As he ascended, Aditya encountered a watchman, who presented
him with two enigmatic files and issued a cryptic challenge: decipher the contents to
progress further into the unknown.
Note : Only for this question the word Eureka is to be written in lower case i.e. eureka{flag}. ",55,https://drive.google.com/drive/folders/1lDWRoABQ29uU1SRKO3Ggk4oqayT9o8R1?usp=drive_link,eureka{bru73f0rc1n6_15_345y!!!}
Crypto2,That Symbol Dude,"Your American friend, CII, sent you a secret message about his favourite symbol. He is a
live-Streamer, his handle is “Modulo the Second”, and he loves wiggly lines. Before his phone
died while talking to you, the last piece of info he gave you was that the key to this is who YOU
are (right now, in your academic journey)!
1 1 0 0 1 0 0
Enter the answer as EUREKA{answer}.",45,,EUREKA{Tilde}
Crypto1,Don't Stop the Cap,Make sure to keep your thinking _caps_ on!,40,https://drive.google.com/file/d/1R6I1BguhlILcFxgTDXO4z4w1EwIfDgBq/view?usp=sharing,EUREKA{g00d1}
Misc11,Stitch the Flag,A part of the flag was found in the link below. Can you stitch it up?,40,https://www.instagram.com/ieeeeureka0/,EUREKA{! h@v3 f0und th3 f1@g}
Misc4,The_Ethereal_Labyrinth_Aditya's_Perilous_Pursuit_through,"Aditya, having traversed the enigmatic threshold of Step NITK, found himself ensnared in an
unsettling realm. The moment he passed through the grand entrance, the portal promptly sealed
itself shut and promptly vanished, leaving Aditya stranded in an abyss of infinite emptiness. The
vast expanse stretched endlessly in all directions, devoid of any discernible landmarks or signs
of life. He cast his gaze in every conceivable direction, desperately searching for an escape
from this otherworldly nightmare. Yet, his endeavors proved futile, and a sense of eerie
desolation permeated the air, amplifying the haunting nature of his predicament. The
disconcerting absence of anything tangible heightened the surreal atmosphere, trapping Aditya
in a disorienting void with no apparent means of egress. In his quest for a way out, Aditya
grappled with the surreal nature of Step NITK, yearning for a glimpse of reality amidst the
disquieting emptiness that enveloped him.",55,https://drive.google.com/file/d/1fGvA-QGxg9cngq6GM1owEZrpEPUluyQ8/view?usp=drive_link,EUREKA{130850092279664}
For2,Find the needle in the haystack,"iin the labyriinthiine domaiin presiided over by the sole diictator of NiiTK miirror world, where the boundless metaverse and the tangiible realm converge, where knowledge iis the elusiive key to happiiness iis crumbled and engraved iin the dark miist around the miiddle of the ghastly space.what mystiical siigniifiicance liies iin the diictator's peculiiar aversiion to the number 20, transformiing iit iinto 25? As the diictator's love for Aryabhatt and eggs iintertwiines, could deciipheriing the meaniing of hiis daiily riitual of munchiing on eggs whiile gaziing at hiis own portraiit hold the key to understandiing hiis liifelong aspiiratiion to ascend to kiingshiip?",70,https://drive.google.com/file/d/13FMalOkMDM4-T-mNoZaC6QJnRv4M1c62/view,EUREKA{kr!tu$!AnK!n6}
Misc1,very compressed,"You find another key after braving the wild, incredibly cold and dry weather of the mirror world. It's a bit frozen, and because of that it’s quite heavy as well. You’ve not got a lot of space, so you hand over the key to your trusty companion robot and ask it to compress the key using its special set of meta-tools.
However, your robot isn’t the brightest, and thinks that repeatedly compressing it will make it more compressed. You quickly pry the key back, but the damage has already been done, you’ve got a very repeatedly compressed key with you. Your robot says it only compressed it ‘a bit more than a dozen times’, but you don’t trust what it says. You uncompress the key with your own tools and decide to keep it with yourself this time. Your robot is also a big fan of security so every file is password protected.
Apparently the first password is 495525.",65,https://drive.google.com/drive/folders/1-mQpb_I7vbZoDYd89sPO96hnNnj56Qea?usp=sharing,EUREKA{H0PEFU11Y_Y0U_D1DNT_D0_TH15_8Y_H4ND}
RE1,Coordinates Galore,"During the construction of our college in the mirror world, the contract of building a particular building was given to a builder named Saket. Saket, being the forgetful guy he is, misplaces the file containing the coordinates for the name of the building, which had to be etched onto a grid, with empty spaces spanning columns which are multiples of 5. From trusted sources, he believes that there were 11 changes made. Thankfully, he preserved the region of the file containing data in the block between columns 11 and 14 and the block between columns 26 to 29. Further all changes have been made within that character’s window by sliding the data either vertically or horizontally.

Write your answer in the format EUREKA{Answer}.",65,https://drive.google.com/file/d/1TclL1AoWm5hNTSGeJX_oOghYlo39mT4q/view?usp=sharing,EUREKA{LecHC_B}
Misc8,Russian Secret,"In the MirrorVerse, a great Russian professor teaches a course on psychology at NITK. He was also a very 
weird man as his hobbies including playing around with bells and spending a lot of time around his
many pet dogs. He also shows great interest in dinosaurs, especially the stegosaur. Though
he never specified why.

After years and years of tiring lectures, tutorials, presentations, seminars on psychology
and bringing others to the edge of their chairs with his theories, the great Professor
decided to retire. Before leaving, he handed his lecture notes to his favourite students
and also a last message informing them of a clue to the secret behind his 24x7 good mood despite the bad food
and terrible weather

But, the students are puzzled about deciphering the notes, which were all in Russian.
More importantly, they needed the clue to the secret. Luckily, the students found a hint
in the Professor's cabin. A single image reminding him of something he often forgot.

Can you help them decipher what the professor meant to reveal?
",25,https://drive.google.com/file/d/19w3youWG3YztvzanoaOtuXGAd-xbgn2H/view?usp=drive_link,EUREKA{dogs}
Web1,Secrets on the Page,"Get ready to wear a Web Developer hat and decipher the Flag from the given website

Here is the link to : https://aahilrafiq.github.io/IEEE_EurekaWeb_q1/",30,https://aahilrafiq.github.io/IEEE_EurekaWeb_q1/,EUREKA{WebDev136@IEEE}
Misc10,Rat Attack,"Rats have taken over B7. Luckily, in Mirrorverse NITK, the hostel office employees are cats who are experts at catching them. But even they need help this time. Help the cats catch the rats and obtain the key to the next stage",40,https://drive.google.com/file/d/1HWFxoNyKAx4mSdrrxbyxqqgIUutGzlL_/view?usp=drive_link,EUREKA{TOMNJERRY}
Misc5,Bash Magic,"Matryoshka dolls are really fun but imagine if there was a way to open each layer of doll. Your friend has changed your laptop password and has hidden the new password in a Matryoshka Doll.
",50,https://www.mediafire.com/file/xumiikuhy2or1g4/Bash_Magic.zip/file,EUREKA{LaPt0P_G0d_69}
RE4,Difficult Patient,"A doctor gets a cryptic binary file from one of their patients which contains their symptom.Since
he is responsible and cares about his patients ,he asks is friend ,You to figure out what that is…
Here’s the binary file the patients sanity is on the line…
( the flag is EUREKA{insert symptom here} )",70,https://drive.google.com/file/d/1Y5f-pBdSk4Fx6LIlIw_TqsuuLagu9V8g/view?usp=sharing,EUREKA{OwiBrainHurts}
Misc6,The Great and Mighty Think Tank,"Question :

Challenge Description: You have stumbled upon a mysterious server within the Metaverse owned by The InterPlanetary Ruler ,King of kings,  ""The Great and Mighty Think Tank."" This server holds the secrets to accessing the ""Mirrorworld,"" a parallel virtual universe. Your mission is to uncover the path to this alternate reality and reveal the hidden treasure within.
Challenge Objective: Your task is to hack into the Integrated Power and Fire System(IPFS) of the Think Tank server to gain control and retrieve the access key to the Mirrorworld. To do this, you need to find it from the depths of the mirrorworld.
Challenge blabbers:
द एबिस (१९९९)
孟菲斯美女 (1990)
المد القرمزي (1995)
Challenge blabbers more: 

-.-. --- -. ...- . .-. - ..--.- - --- ..--.- ... -- .- .-.. .-.. ..--.- -.-. .- ... . -.--. -... .- ..-. -.-- -... . .. .- .--. --.. -.. -.. --.- -.- -.. -.. ..- .-- .. --.. .--. -.. -... --... ..--- ...- .... --.. ..--- .- -.-- .- - -.-- -... .-- -... ..- --. -..- ....- .--. -.-- -.... .--- .. .-. --... ...-- ... .-. --- -.... . -.. -. -.... ... . -.--.-

Challenge blabbers even more: 
O símbolo, cujo ascii é 61, serve de base à lógica matemática e de programação, possibilitando comparações e equações precisas. Sua importância está na capacidade de estabelecer relações, definir valores e manter consistência em diversos campos do conhecimento e da tecnologia  
-by Noodle.",100,,EUREKA{D3c3ntr41s4t10n_1s_th3_K3Y}
Misc3,Ford's Message,Grunkle Ford’s Message,30,https://drive.google.com/drive/folders/1K4-YslHAeCDH8odtRFU-gPyydeEKN2wU?usp=sharing,EUREKA{mystery shack}
Crypto7,Escape the Flags,"Locked inside DICS, a student manages to break through the security system and obtain a stream of bits which appears to be the key. Decrypt the stream of bits and provide him the actual key so he can escape by 12 before Guard 10 arrives and finds him inside.

10100100011001010110010101100101011001010010010001100101010010111001010000010111101100110000010001111001010111111001010001100011000100111001010001000111100101010011011111011010
",35,,EUREKA{0G_F14GS}
Web7,Stay on Track,"Bob has lost his precious flag in the mirrorverse of the internet. All he knows is that it is hidden somewhere in the site http://3.26.93.132/. Help Bob find his flag in this maze of interconnected hyperlinks! The flag is of the format EUREKA{flag}. Bob is worried about his flag, so make sure to look carefully, and look everywhere ;)",55,http://3.26.93.132/,EUREKA{doesthemirrorseeyou?}
For1,Wavy magic,"You’ve almost made it out of the metaverse, and you’re dreaming about getting back to NITK beach to enjoy the sea and its waves. But alas! Another obstacle is in your way. A bunch of dastardly wicked meta-wizards block the path to the key. Yet there is hope, the key is hidden well, but the wizards seem to have forgotten where it is as well. You overhear
something about how they lost their magic numbers along the way. It all clicks in your mind, and you know what to do. You get the key and you’re now one step closer to seeing (and listening to) those great waves again.",100,https://drive.google.com/drive/folders/1SRnPgvxBIv6GUCxgMSZGFLn0wsEZ_boW?usp=sharing,EUREKA{H0CU5P0CU5}
Crypto3,last ones before norths,"You received a weird invitation from someone to meet him to discuss something important
A total of 9 video files will be given in drive link which have highs and lows in a
mysterious manner
Paper slip:
(0.014),(0.124),(-0.126)
I'm a dangerous tool for those who wish to conceal, essence and
(0.104),(0.131),(0.114)
meanings with great zeal. In my enigmatic state, I'm acquired,in reverse,What am I?
(0.071),(0.066),(0.112)

decode this message that you received!",70,https://drive.google.com/drive/folders/1Z0LdW5aGGmlFWaF_a_gObsC4_HKfyzUE?usp=sharing,EUREKA{Ohara_cafe}
For7,Tell the Answer,"What is the answer to life, the universe, and everything?",35,https://drive.google.com/file/d/1zzcc2IPPENygEa2xfniVMFcV7IGeC10G/view?usp=drive_link,EUREKA{hItCHh1k3R}
Crypto8,Use_Your_brain_caesar,"You write your question yourself. I did a lot of work, so my neurons aren't working.",50,https://drive.google.com/drive/folders/13S9tZZACY0mVfX_NMStWX-otsucdCPsP,EUREKA{Brainfucked}
Crypto5,A Grand Entrance,"	While exploring the main building, you find a secret door leading to IEEE NITK HQ. However, in your way stands the hologram of a virtual security guard, displaying a certain crypt. With each decrypting step, a door is opened, only for you to be faced with another door. It is now your job to get through all the doors to finally reach HQ to understand what we are all about!

.. . . . .-.-. -. .. - -.- 

Note: Toggling may be useful.
",60,http://bit.ly/clueeee,EUREKA{t1r3D_0F_d3CrYpt1nG}
Web2,Dwelling in the Past,"In the Mirror NITK world there is an amethyst button which lets you unlock past secrets, your task is to find this button’s color, this page will give you the way to move forward.",80,https://amruthsd.github.io/watchme/,EUREKA{#4f0000}
RE2,Pense Comme Un Ordinateur,"In the Mirror NITK world there is a phrase which says “don’t Pense Comme Un Ordinateur” to encourage students to have fun. But in this question, you should be able to do it by Pense Comme Un Ordinateur.",20,https://drive.google.com/file/d/163zXl0J8fEJEhZJYByNx7N7hhJm_N6q_/view?usp=sharing,EUREKA{M1rr0r}
Web4,Can you go back to the Past?,"It is the NITK Mirror World, and here time can flow in any direction. Your task is to find the flag, but unfortunately the flag has already been hidden from people before your time. The flag has important information for the survival of the real world, but can you reverse the flow of time and find out the flag before the real world is destroyed?",50,https://github.com/sanjaybhat2004/IEEE-eureka-2023-chal2,EUREKA{t1m3_mAchIn3}
Misc2,Down the Slope,"In NITK, two popular beverages are Minute Maid and Nimbooz.  You’ll find these at Amul, Suprabha, the cooperative, and pretty much any shop in NITK.  

Amul requires a fresh shipment of the two drinks.  The suppliers have decided to make things interesting by providing only the orange and lemon extract percentages for some of the bottles they have shipped.  Such transparent bottles also have been replaced by opaque bottles for obvious reasons.

Being in an engineering institute of high repute, they need your help in classifying those unlabeled bottles.

Refer to the highly simplified neural network (a single neuron, in fact) in the resources. This network is in the middle of an epoch. As you know, Gradient Descent is a very popular backpropagation algorithm that is used to minimize the loss function, which involves calculating gradients.

Here X1 denotes the amount of lemon extract and X2 denotes the amount of orange extract.  A prediction of 0 means the bottle contains Nimbooz while 1 means Minute Maid.

Find the value (round off to 3 decimal places) of the sum of the new weights obtained and submit it as EUREKA{value}.",50,https://drive.google.com/file/d/1WLWQ1_0-Gz-EYhT5-wHmVbbye8IxHLa9/view?usp=drive_link,EUREKA{0.124}
