title,description,link,hint,points,flag,section
"Meet Deadpool
","👋 Hey, you! Yeah, you reading this. Guess what? You’ve just summoned the one and only Deadpool🦸‍♂️🔴💢⚔ —because clearly, this event needed a little more me in it. 😏⚔️

Don’t worry, I’ll keep it classy. Or not. (Spoiler: definitely not.) 😈 So, buckle up, buttercup, because I’m about to break more than just the fourth wall. 🧱🔨

Alrighty then, buckle up, buttercup, because I’m your tour guide for this crazy CTF ride! 🎢 And you? Well, you’re my sidekick in crime—nah, just kidding.

Let’s kick things off super easy. This is a CTF (Capture The Flag), and just so you know what you’re hunting for, here’s how the flag will look: CODE{bye_By3_bye}. 🏴‍☠️

Btw, Wolverine hates that song, by the way. Trust me, I made him listen to it on repeat. 🎶🐺",,,10,CODE{bye_By3_bye},0
Sanity Check ,"Now, let’s get to the important stuff. I know what you’re all wondering—how are we gonna do this without dishonoring the Deadpool Legacy or Logan’s memory? 🤔 Spoiler alert: We’re not. My Legacy is unruinable but I’m here to dig his grave and find him 🪦 while you should be busy finding flags, but here you are, reading about me yapping. 📖🗣️

Now go forth, my brave little minions, and unearth those Loganic flags hidden deep within the Discord channels, while I, your fearless leader, dig up Wolverine’s grave. ⚔️

Oh, and if you haven’t joined the Discord channel yet—what are you even doing with your life? Just kidding! Don’t shoot yourself in the head (leave the self-destructive tendencies to me). Here’s the link instead: Discord Channel Link 💥

Oh, and one last hint for you, kiddos: the key to finding this flag? Well, it’s hidden where all the best things are—in pure insanity! 😈",,"Hell yeah, I'm insane",10,CODE{1m_1ns8n3},0
"What does Deadpool say 
","🧨 So yeah, the TVA decided to crash my little mission, and let me tell you—it was a bloodbath. Like, Quentin Tarantino would’ve been proud. 🩸🎥 And trust me, this wasn’t my choice. I didn’t wake up thinking, ‘Hey, you know what I’d love today? A bureaucratic beatdown.’ 💼🥊

Well, let me explain. Life’s been a bit of a snoozefest lately. 😴 I mean, I was losing interest faster than you can run. Couldn’t figure out who I was anymore. 😵‍💫 My girlfriend called me a narcissist (ouch) 💔 and left me. I failed the Avengers audition—turns out, they don’t appreciate my unique skill set—and now I’m just a washed-up car salesman. 🚗😢 Yup, that’s me: Deadpool, dealer of slightly used minivans and shattered dreams.

And finally, one fine day—obviously my birthday, because the universe revolves around me 🎂✨—all the people I care about were gathered. And by ‘people,’ I mean, like, my katana Bea and... yeah, that’s pretty much it. 🗡️💔 But hey, you can just Google my life story. The internet’s basically my biographer at this point. 🕵️‍♂️💻

Then, out of nowhere, the TVA decides to crash my party. 🎉🚨 And holy chimichangas, I thought they were here to spice things up! 🌶️ But nope, they threw me into custody, yapping about how they were gonna destroy my universe. 🌌💥 And guess who was leading the charge? That paradoxical buzzkill himself—Mr. Paradox. 🤯

Honestly, why am I even explaining this to you? Go watch the damn movie. 🎬🍿 But you’re probably tired of hearing me yap by now. I know you’re just here for the flag, but guess what, cupcake? It ain’t that easy. 🎯🚫

👉 I need to know that you really know me and love me. So, TELL ME—what do I always SAY when I’m DTF (Down to Fight)? Nail it, and I’ll toss you that flag. 🎌💪",,Just read the last paragraph thats it.,10,CODE{mAx1mum_E66Ort},0
Digging the Grave,"💥 Alright, you’re probably wondering, ‘Why is the red-faced merc yapping so much?’ 🤔 Well, excuse me for trying to keep things concise! If you actually watched my movie 🎬, you’d know I’m all about that tight, focused storytelling. 🎯

🧘‍♂️ Okay, Deadpool, deep breaths… focus. Here’s the deal: I’m gonna loop things around here. 🔄 In question 1️⃣, I told you how I’m on this epic quest to find Logan 🐺 and how you need to hunt down those precious flags 🏴. Then, in question 2️⃣, I gave you the juicy backstory of how I got to question 1️⃣. See? Full circle, baby! 🔄💪

But now, it’s time to get serious. 😤 I’ve got to track down Logan in at least one of the multiverses 🌌 and drag his clawed, grumpy butt 🦸‍♂️ back to my universe because apparently, he’s some kind of ‘anchor being’ ⚓ and the only hope for saving this world. 🌍 Desperate times, folks. I mean, sure, I’m Marvel Jesus ✝️ and all, but even I need a little help from the furball. 🐾

So here’s the plan: I’ll go on a multiverse scavenger hunt 🔍 for Logan, and you, my little sidekick 🦸‍♀️, need to find the ‘Loganic’ flag 🏴 hidden somewhere in the starred github repo's. And c’mon, does Wolverine really need an intro? He’s the yellow-suited, cigar-chomping, sexy beast 🧑‍🔧 you all know and love. And we need him.

😲 You’re probably like, “WTF (Wolverine The Fire)? How are my starred repos the same as everyone else’s?” Well, buckle up, because I’ve got the answer. 🕵️‍♂️

Simple, my friend. 🤓 Just take this nifty little script (think of it like that time machine thingy I borrowed—okay, stole—from the TVA) and run it with your GitHub token as input. 🕰️🔑 And voilà, it’ll star a few repos for you. Now, here’s the fun part: you need to dig through those starred repos to find the flag. 🏴‍☠️

Since this is level zero, I’m feeling generous. 🎁 Here’s a doc link that’ll walk you through how to run this bad boy. 📜🖥️

Oh, and one more thing, lucky baby boy—if each of your team members runs this script individually(like all your team members), you might just score some cool stickers. 🎉🔥",https://docs.google.com/document/d/1VtuOQRMaozNIAgPsCH7IVSK7NYJpPwKoeHYVF990rc4/edit?usp=sharing,,10,CODE{t93_r16HT_w0lv3r1n3},0
Where data?,"Oh hey, look at you, all curious and stuff! 🤓 So, here's the deal: there's this little ol' link down below ⬇️ that's supposed to be fetching some juicy data 💾. But, plot twist! 🚨 It's failing harder than my attempts at being serious. Your mission, should you choose to accept it (and you better! 🕵️‍♂️), is to figure out what's going wrong.

Cue dramatic music 🎵

Don’t worry, more brain-melting instructions await you on the website. 🧠 And remember, wrap that flag in CODE{} when you find it, or I'll find you. 😉

Good luck, my little data detective! 🕵️‍♀️",https://ieee-flagship-web-question.netlify.app/ ,,15,CODE{IEEE_delectus_aut_autem},1
Theseus In The Maze,"Ah, so you wanna play hero, huh? 🦸‍♂️ Well, let me introduce you to Theseus, the original Greek badass! 🇬🇷 This dude took on the Minotaur—a freaky creature with the head of a bull 🐂 and the body of a man 🧔. Yeah, sounds like a nightmare mashup you'd see in a bad horror movie. 🎥

So, here's the juicy backstory: The Kingdom of Crete was all like, ""Yo, Athens, gimme that annual tribute, or else!"" 👑💰 And what did they do with it? Fed it to this man-bull thing trapped in a giant maze, because why not? 🌀 People who went in? Never came out. Remind you of a certain bird-mimicking archer with some PTSD? 🦅😬

Today, my friend, YOU get to be Theseus! 🎭 You’ll find the quickest way out of this crazy maze, dodging that bull-headed psycho (because let’s face it, you’re only pretending to be him—no way you’re actually slaying that maniac 😅).

You’ve got two files to help you out. question.py is where you’ll write your oh-so-brilliant Python algorithm 🧠🐍 to escape. And test.py? That’s where the maze awaits.

Here's the deal: 'S' is where you start 🚀, 'E' is the exit 🏁, '.' is a path you can walk on 🚶‍♂️, and '#' means, ""Nope, blocked! 🚧"" You can move in four directions—up, down, left, right. Easy, right? 😎

Oh, and for those of you who don’t speak Python 🐍, don’t run away just yet! Adriane, the King’s daughter 👸, gave Theseus a little “hack”—a ball of string to track his path. 🧶 So yeah, even ancient Greek heroes used cheat codes. 😉",https://drive.google.com/drive/folders/1QsfMLXKwo1yOAnlIPHue7bI1Sm-jXZ0r?usp=sharing ,,15,CODE{146},1
Squeez'd,"Ah, claustrophobia, the delightful fear of tight spaces! 😱 Guess what? Your next challenge is gonna squeeze you tighter than my suit after a chimichanga binge! 🌯😜 In the squeezd.html file, you'll find your worst nightmares come true. Yep, it's like a horror movie, but with more code and less screaming... hopefully. 🎃

Your mission? Find the key, which could be hiding right under your nose 🕵️‍♂️—or maybe it's just playing a game of hide-and-seek with your sanity. Good luck, space cadet! 🚀🔑 It's all about minifying and seeing things compactly.

",https://www.mediafire.com/file/mnfiwamyzhc72iw/squeezd.html/file ,"When creating HTML, CSS and JavaScript files, developers tend to use spacing, comments and well-named variables to make code and markup readable for themselves. While this is a plus in the development phase, it becomes a negative when it comes to serving your pages. Web servers and browsers can parse file content without comments and well-structured code, both of which create additional network traffic without providing any functional benefit.

The display property specifies the display behavior (the type of rendering box) of an element

Characters may have different sizes depending on the font. Perhaps a bit of uniformity in their sizes would be better

The final answer is an all capitals, no-space name",15,CODE{MONALISA},1
Hit Me Up,"Behold! You’ve entered the realm of the King 👑, where every word is written in a bizarre dance of CAPITAL and small letters—like a ransom note, but fancier. ✒️ And don't forget, colors here are in HEX, because normal colors are just too mainstream. 🎨

Your royal mission (and you better accept it, or it's off with your head! ⚔️), is to send a post to the King with the KeY that is ""onetrue"" and the CoLoR that matches ""0% 16% 100% 0%"". Do it right, and you’ll unlock the elusive flag 🏴‍☠️.

Now go, my brave messenger, and may the CAPS and HEX be ever in your favor! 🚀📜",https://askforkey.vercel.app/,try posting instead of getting,15,CODE{SuCcEsS},1
The Veiled Inscription,"🎶 Oh, a poem! You’re speaking my language now! 🎶 Let’s see if we can crack this riddle, Deadpool-style. 🕵️‍♂️💥

Hidden deep, a treasure waits, Behind a veil of shifting fates. 🎭 Seek the key, a Unix command, A pattern hunter in high demand. 🕵️‍♂️🔍

The key you find is twisted by time, Each letter hides from its fate, ⏳ Three steps behind, they take their stance, Unravels the code, with a clever, sharp lift. 🎩✨

The final gift is with letters transformed, By the key's command, in a repeating dance. 💃🕺 The final solution, for the wise one to see, And liberate the gift trapped within ""wwjyhhxuvgu"". 🗝️🔓

Don't forget to wrap your flag in CODE{}",,,15,CODE{tiimetwisst},1
Monumental,"Ah, so you’re on a mission to track down the elusive monument X using just your eagle-eyed observation skills and a couple of Google Street View images? 🕵️‍♂️🔍 Challenge accepted! 💥

Here’s how you’ll do it:

Analyze the Images: Study every tiny detail—signs, landmarks, road markings, even the types of trees and buildings around. 🌳🏢 Anything could be a clue to pinpointing the exact location.

Find the Plus Code: Once you’ve got a pretty good idea where X is, head over to Google Maps and use the Plus Code feature. It's like geocaching, but way more high-tech. 🌐

Format Your Answer: After you’ve hunted down that Plus Code, remove the special characters and format it as CODE{PlusCode_LocationName}. For example, if you find “CGMG+QW Victoria, British Columbia, Canada,” your flag would be CODE{CGMGQW_VICTORIA}. 📍🎯

Now, channel your inner Sherlock and let’s find that monument! 🕵️‍♂️🗺️",https://docs.google.com/document/d/1gPKlxjO3uM5FOLukDj7QlmKP9KWbbfmSYM_LJlAUJ2A/edit?usp=sharing,"Hint 1 : https://www.mediafire.com/view/xywg01xsp5ikkc0/hint1.png/file 
Hint 2 : https://www.mediafire.com/view/xywg01xsp5ikkc0/hint1.png/file ",15,CODE{C2452W_LIVERPOOL},1
